,text,embeddings,distances
0," – 2023 (MMXXIII) was a common year starting on Sunday of the Gregorian calendar, the 2023rd year of the Common Era (CE) and Anno Domini (AD) designations, the 23rd  year of the 3rd millennium and the 21st century, and the  4th   year of the 2020s decade.  ","[ 0.00368264 -0.01391775 -0.00747782 ... -0.00647119 -0.00789048
 -0.01820687]",0.22311103456588466
1,"The year 2023 saw the decline in severity of the COVID-19 pandemic, with the WHO (World Health Organization) ending its global health emergency status in May. Catastrophic natural disasters included the fifth-deadliest earthquake of the 21st century striking Turkey and Syria, leaving up to 62,000 people dead, Cyclone Freddy – the longest-lasting recorded tropical cyclone in history – leading to over 1,400 deaths in Malawi and Mozambique, Storm Daniel, which became the deadliest cyclone worldwide since Cyclone Nargis after killing at least 11,000 people in Libya, a major 6.8 magnitude earthquake striking western Morocco, killing 2,960 people, and a 6.3 magnitude quadruple earthquake striking western Afghanistan, killing over 1,400 people.","[-0.02144141 -0.00488042  0.00321249 ... -0.00731387 -0.00730035
 -0.0245373 ]",0.27018253500033695
2," – The Russian invasion of Ukraine and Myanmar civil war continued in 2023, and a series of coups, several armed conflicts, and political crises broke out in numerous African nations, most notably a war in Sudan. A major escalation of the Israeli–Palestinian conflict occurred in October when Hamas, which governs the Gaza Strip, led an attack on Israel, leading the latter to declare war on Hamas. The Nagorno-Karabakh conflict ended after over 100,000 Armenians fled the region after an Azeri military invasion.","[-2.13282742e-02 -1.66928750e-02  8.03378597e-03 ...  7.05696220e-05
  2.20079515e-02 -1.30243169e-03]",0.25148981496775336
3," – A banking crisis resulted in the collapse of numerous American regional banks as well as the buyout of Credit Suisse by UBS in Switzerland. The two largest American banks to collapse were Silicon Valley Bank and First Republic Bank, two of the three largest banking collapses in US history. The most notable of numerous acquisitions in various industries included October's energy acquisitions with ExxonMobil and Chevron buying Pioneer Natural Resources and Hess respectively, the luxury fashion holding company Tapestry (Coach New York and Kate Spade New York) announcing its purchase of Capri Holdings (Michael Kors and Versace), and the closure of Microsoft's acquisition of Activision Blizzard.","[-0.03287415 -0.01234798  0.03709775 ... -0.00025578 -0.011245
  0.00335097]",0.2977471942971721
4," – In the realm of technology, 2023 saw the continued rise of generative AI models, with increasing applications across various industries. These models, leveraging advancements in machine learning and natural language processing, had become capable of creating realistic and coherent text, images, and music. An AI arms race between private companies has continued since the late 2010s, with Microsoft-backed OpenAI and Google owner Alphabet today most dominant among firms.","[-2.31895521e-02 -1.41486311e-02  2.44998737e-05 ... -1.20522846e-02
 -4.45217546e-03  1.32131279e-02]",0.12351307787839083
5,"January 1 – Croatia adopts the euro and joins the Schengen Area, becoming the 20th member state of the Eurozone and the 27th member of the Schengen Area. This is the first enlargement of the Eurozone since Lithuania's entry in 2015, and the first enlargement of the Schengen Area since Liechtenstein's entry in 2011.","[ 0.01315719 -0.02075084  0.01291306 ...  0.00797911 -0.00118289
 -0.01238626]",0.3057078720661147
6,"January 5 – The funeral of Pope Benedict XVI is held at St. Peter's Square in the Vatican City. The funeral was attended by an estimated 50,000 people.","[ 0.00704745  0.00247942 -0.0027389  ...  0.00722684 -0.0052023
 -0.02134738]",0.30445650389602186
7,"January 8 – The 2023 Beninese parliamentary election is held, with the Progressive Union for Renewal party winning a plurality of seats.","[-0.02324043 -0.00259386 -0.00794358 ... -0.0105615  -0.01263402
  0.00410333]",0.25091427042187775
8,"January 8 – Following the 2022 Brazilian general election and the inauguration of Lula da Silva as president of Brazil, supporters of former Brazilian president Jair Bolsonaro storm the Brazilian National Congress, the Supreme Federal Court and the Presidential Palace of Planalto.","[-0.03401545 -0.00989051 -0.02209427 ...  0.01021909  0.00633847
 -0.00450166]",0.2753959981410107
9,January 9 – Juliaca massacre: At least 18 people are killed and over 100 others are injured when the Peruvian National Police fire upon demonstrations in Juliaca.,"[-0.02925893  0.02143236  0.00412709 ... -0.00529006 -0.00992575
 -0.0084939 ]",0.2954366901690051
10,"January 10–17 – A cold snap in Afghanistan kills 166 people and nearly 80,000 livestock.","[-0.00973941 -0.00681824 -0.02045472 ... -0.0026772   0.01742294
 -0.01448225]",0.2924681856822011
11,"January 15 – Yeti Airlines Flight 691 crashes during final approach into Pokhara, Nepal, killing all 72 people on board.","[ 0.0041217  -0.00392785 -0.00143322 ...  0.01553345  0.00695955
 -0.02228326]",0.29446879203162113
12,January 16 – Tigray War: Amharan Special Forces withdraw from the Tigray Region in line with an African Union-backed peace agreement between the Ethiopian government and the Tigray People's Liberation Front.,"[-0.01435107 -0.02155255  0.00035237 ...  0.00172738  0.01058164
  0.01227496]",0.27928217018874457
13,January 17 – Nguyễn Xuân Phúc resigns as President of Vietnam amid several recent scandals in the government.,"[-0.01357029 -0.01458679  0.02153712 ... -0.01174694  0.01112434
 -0.01100998]",0.2856477976000682
14,"January 18 – A helicopter crash in Brovary near Kyiv, Ukraine kills 14 people including Ukrainian Minister of Internal Affairs Denys Monastyrsky.","[-0.01311687  0.00283521 -0.00915145 ...  0.01387249  0.00567687
  0.00189068]",0.2875580107228418
15,"January 20 – The Parliament of Trinidad and Tobago elects former senate president, minister and lawyer Christine Kangaloo as president in a 48–22 vote.","[-0.00301428 -0.00578572 -0.00813951 ...  0.00513495 -0.00144157
 -0.00843738]",0.2867764310741763
16,January 21 – Burkina Faso requests French forces to withdraw from its territory after suspending a military accord that allowed the presence of French troops in the country.,"[-0.01647113 -0.0021382   0.00588208 ...  0.01230155  0.01238572
  0.01478776]",0.30146717315885874
17,January 21 – Tigray War: Eritrean forces withdraw from Shire and other major towns in the Tigray Region of Ethiopia.,"[-0.00536014 -0.01284233  0.00654085 ...  0.01706703  0.01686
  0.00022624]",0.2939934957338315
18,"January 25 – Chris Hipkins succeeds Jacinda Ardern as Prime Minister of New Zealand, six days after she announced her resignation.","[-0.01640639  0.0127346  -0.01698356 ...  0.00388976 -0.02244827
 -0.01729057]",0.2703434715406894
19,"January 27 – Widespread unrest erupts in Israel following an Israeli military raid in Jenin the previous day which killed nine Palestinians. Incendiary air balloons are launched into Israeli-populated areas following it. Israel responds with targeted airstrikes. Later the same day, seven Jewish civilians are killed in a synagogue in Neve Yaakov in a terrorist attack.","[-0.03467332 -0.01929192  0.00686949 ...  0.00194712  0.00402132
 -0.00797095]",0.2959717270396387
20,"January 27–28 – The second round of the 2023 Czech presidential election is held, with Petr Pavel declared winner.","[-0.01500083 -0.00147489  0.00784482 ...  0.01574066 -0.0121499
 -0.00706034]",0.25122461333551516
